filename,disposition,notes
command-class-approval-policy.md,aspirational,"Cites pnpm run check:directive-cli-anything-reentry which does not exist. al-parked-cli-anything candidate is unimplemented."
command-mediation-contract.md,aspirational,"Same as command-class-approval-policy: parked candidate, no TS code."
context-compaction-fidelity.md,aspirational,"Cites pnpm run check:directive-hermes-contracts which does not exist."
context-operator-import-guard.md,aspirational,"Cites pnpm run check:directive-arscontexta-runtime which does not exist. arscontexta import-pack guard for a Mission Control-side runtime."
cross-source-synthesis-packet.md,schema-shaped,"shared/schemas/cross-source-synthesis-packet.schema.json already exists. Contract is field listing + intent; replace markdown with stub linking to the schema."
design-review-skill-guard.md,aspirational,"Cites pnpm run check:directive-design-philosophy-runtime which does not exist."
discovery-gap-worklist.md,enforced,"discovery/lib/gaps/gap-worklist-generator.ts implements the priority scoring + worklist generation rule; discovery/lib/gaps/gap-worklist-refresh.ts and gap-worklist-selector.ts consume it; shared/schemas/discovery-gap-worklist.schema.json validates output."
discovery-intake-queue.md,enforced,"discovery/lib/intake/queue-writer.ts, transition.ts, lifecycle-sync.ts; discovery/lib/front-door/submission-router.ts; discovery/lib/records/fast-path-record-writer.ts, completion-record-writer.ts, case-record-writer.ts; discovery/lib/routing/routing-record-writer.ts all implement the rules. 7 schemas validate the request shapes."
discovery-mission-routing.md,enforced,"discovery/lib/front-door/mission-routing.ts implements the assessment surface + scoring; outputs match the documented shape."
discovery-to-architecture.md,aspirational,"Lane handoff prose describing required fields. No TS validator references the contract; routing decisions are made in discovery/lib/front-door/ but do not check this contract."
discovery-to-runtime.md,aspirational,"Same as discovery-to-architecture: prose handoff template, no enforcement."
escalation-boundary-policy.md,aspirational,"No TS code reference. No checker exists for baseline/elevated mode discipline."
evaluator-contract.md,aspirational,"Defines evaluator shape. shared/schemas/transformation-proof-artifact.schema.json embeds evaluator fields but no TS validator enforces the rule that transformation work include an evaluator."
experiment-score-feedback.md,aspirational,"5-to-+2 score mapping is documentation only; no TS code applies the deltas."
gap-formalization.md,enforced,"engine/mission/gap-formalization.ts implements buildFormalizationId, formalize/approve/reject helpers per the legal-states + transitions; engine/coordination/operator-decision-inbox/builders.ts wires it into operator inbox; shared/schemas/gap-formalization-record.schema.json validates output."
goal-input.md,enforced,"shared/lib/goal.ts embeds the contract reference into the DIRECTIVE_GOAL.md template; STANDALONE_SURFACE.json declares it as kernel-goal-contract; README.md and hosts/integration-kit/README.md link to it. (Note: STANDALONE_SURFACE.json line 62 still references pre-F11 directive-kernel-goal-input.md path — stale, needs updating to goal-input.md.)"
host-callable-adapter.md,enforced,"runtime/lib/host/callable-adapter-contract.ts exports RUNTIME_HOST_CALLABLE_ADAPTER_CONTRACT_PATH = 'shared/contracts/host-callable-adapter.md' as const; shared/schemas/host-callable-adapter.v1.schema.json pins contractPath as a const. The contract is the typed adapter contract."
host-integration-acceptance.md,enforced,"hosts/integration-kit/lib/host-integration-acceptance.ts and write-host-integration-acceptance-report.ts implement the 5-rule acceptance harness; shared/schemas/host-integration-acceptance-report.schema.json validates the report; hosts/integration-kit/starter/host-integration-acceptance.template.ts is the reference template."
host-integration-boundary.md,enforced,"hosts/standalone-host/bootstrap.ts and hosts/standalone-host/examples/runtime-follow-up.example.json + runtime-record.example.json reference the contract path as supporting_contracts. The product-ownership boundary it enforces is the structural rule for the kernel."
index-query-state-boundary.md,aspirational,"Cites pnpm run check:directive-codegraphcontext-contracts which does not exist."
intake-stack-signals.md,aspirational,"Cites pnpm run check:directive-celtrix-contracts which does not exist."
integration-proof-template-generator.md,aspirational,"Cites pnpm run check:directive-integration-artifact-templates which does not exist. No TS template generator implementation."
lifecycle-transition-policy.md,aspirational,"State transition + role gate matrix; no TS validator implements role-gated transitions."
literature-monitoring-degraded-state-guard.md,schema-shaped,"shared/schemas/literature-monitoring-degraded-state.schema.json already exists. Contract describes evaluator field set; replace markdown with stub linking to the schema and the digest schema."
mission-evolution.md,enforced,"engine/mission/evolution.ts implements MISSION_EVOLUTION_RECORD_KIND/VERSION + the evolve/revert flow per legal states (active/superseded/reverted); shared/schemas/mission-evolution-record.schema.json validates output; engine/coordination/operator-decision-inbox/builders.ts cites the contract path."
mixed-value-source-partition.md,schema-shaped,"shared/schemas/mixed-value-source-partition.schema.json already exists. Contract is a field listing for the partition artifact; replace markdown with stub linking to the schema."
phase-isolated-processing.md,schema-shaped,"shared/schemas/phase-handoff-packet.schema.json already exists and validates the required handoff packet shape. Replace markdown with stub linking to the schema and the template."
promotion-contract.md,aspirational,"Required fields prose. No TS validator. promotion records are generated by runtime/lib/host/promotion-specification.ts but it doesn't validate against this contract's shape."
promotion-quality-gate.md,aspirational,"Cites pnpm run check:directive-promotion-quality-contracts which does not exist. Mission-Control-side citation/coverage gate."
repo-baseline.md,aspirational,"Doctrine prose describing kernel layout (engine/, shared/, lane code, hosts, ui, state). No TS validator. STANDALONE_SURFACE.json effectively encodes the shipped surface but doesn't reference this contract."
runtime-external-run-envelope.md,aspirational,"Documents historical agent-lab/PowerShell envelope shape. No TS code uses it; the contract explicitly notes the old runner is no longer canonical."
runtime-to-host.md,enforced,"runtime/lib/host/promotion-specification.ts and callable-adapter-contract.ts hard-code the contract path; engine/coordination/runtime-manual-actions.ts, engine/coordination/autonomous-lane-loop/runtime.ts, scripts/hardening/web-host-checks.ts use it as compileContractArtifact; hosts/standalone-host/bootstrap.ts + example JSONs reference it. Most-referenced contract in the kernel."
schema-versioning.md,enforced,"shared/schemas/migrations/index.ts (Schema_Migration_Registry) and shared/schemas/migrations/v8-to-v9.ts both reference this contract path in their header comments; engine/storage.ts readThroughVersionCheck implements the version-bump rule; package.json 0.2.0 implements the bump rule. Newest enforced contract (shipped with F7)."
self-improvement-generation-boundary.md,schema-shaped,"shared/schemas/generation-boundary-note.schema.json already exists. Contract is a field listing for the boundary artifact; replace markdown with stub linking to the schema."
skill-lifecycle-guard.md,aspirational,"Cites pnpm run check:directive-skills-manager-runtime which does not exist."
source-analysis-contract.md,aspirational,"Defines analysis fields for routed sources. No TS code reads or validates analysis records."
source-pack-curation-allowlist.md,aspirational,"Cites pnpm run check:directive-orchestration-allowlist-contracts which does not exist."
standalone-host-api-auth-guard.md,enforced,"hosts/standalone-host/server.ts implements bearer-token auth + protected-route enforcement; hosts/standalone-host/config.ts implements the static_bearer config + bearerTokenEnvName resolution; shared/schemas/standalone-host-config.schema.json validates the config; tests/integration/hardening/security-checks.test.ts exercises both auth modes."
standalone-host-runtime-profile.md,enforced,"hosts/standalone-host/config.ts resolves runtimeArtifacts (writeStatusFile/writeAccessLog/writeBootLog), persistence (filesystem|filesystem_and_sqlite), auth (none|static_bearer); hosts/standalone-host/server.ts emits status.json/access-log.jsonl/boot-log.jsonl per the contract; shared/schemas/standalone-host-config.schema.json validates."
standalone-host-sqlite-persistence-profile.md,enforced,"hosts/standalone-host/persistence.ts implements the filesystem|filesystem_and_sqlite split, default sqlitePath = runtime/host-artifacts/standalone-host.sqlite, and the runtime-session/served-request/queue-snapshot/artifact-write ledger coverage."
structured-output-fallback.md,aspirational,"Cites pnpm run check:directive-structured-output-fallback which does not exist. Fallback parse-sequence prose, no TS implementation."
transformation-artifact-gate.md,aspirational,"Defines passed/partial/failed gate states. No TS code implements the gate; it is doctrine for slice-quality review only."
workflow-operator-import-guard.md,aspirational,"Cites pnpm run check:directive-superpowers-runtime which does not exist. superpowers import-pack guard for a Mission-Control-side runtime."
